प्रश्न,विकल्प A,विकल्प B,विकल्प C,विकल्प D,सही उत्तर,Level
निग्रंथ गुरु क्या करते हैं?,कर्म की वृद्धि करते हैं,कर्म की हानि करते हैं,कर्म से राग करते हैं,कर्म को देखते हैं,2,Medium
कवि प्रभु को न पहचानने के कारण कहाँ चक्कर खाने की बात कर रहे हैं?,बाजार के,चौरासी के,नगर के,वन के,2,Easy
"रिक्त स्थान की पूर्ति करें: ""करुणानिधि तुमको समझ नाथ, ______ भरोसे पड़ा रहा।""",अपने,गुरु,भगवान,कर्म,3,Medium
कवि ने यह क्यों नहीं जाना कि प्रभु वीतराग और कृतकृत्य हैं?,क्योंकि प्रभु ने बताया नहीं,अपनी अज्ञानता के कारण,क्योंकि शास्त्रों में नहीं लिखा था,क्योंकि गुरु ने नहीं समझाया,2,Hard
प्रभु वीतराग की वाणी में जगत को कैसा बताया गया है?,ईश्वर द्वारा निर्मित,स्वयं परिणमनशील,जड़,मायामय,2,Medium
"रिक्त स्थान की पूर्ति करें: ""उस पर तो श्रद्धा ला न सका, ______ का अभिमान किया।""",अकर्तापन,ज्ञातापन,भोक्तापन,परिवर्तन,4,Hard
पर का कर्ता बनकर कवि ने किसका सम्मान नहीं किया?,अपना,गुरु का,स्व-का (अपने आपका),देव का,3,Medium
भगवान की वाणी में कैसा समझाया गया है?,एकांत मय,स्याद्वाद नय अनेकान्त मय,केवल व्यवहार मय,केवल निश्चय मय,2,Medium
"रिक्त स्थान की पूर्ति करें: ""उस पर तो ध्यान दिया न प्रभो, ______ में समय गमाया हैं।""",विकथामें,सत्कथा में,स्वाध्याय में,ध्यान में,1,Medium
अब तक राग को क्या माना जाता था?,अधर्म,धर्ममय,दुःख का कारण,हेय,2,Hard
जिनमत में राग भाव में धर्म मानना क्या कहा गया है?,सम्यक्त्व,चारित्र,तप,मिथ्यात्व,4,Hard
"रिक्त स्थान की पूर्ति करें: ""वीतरागता की पोषक ही, ______ कहलाती है।""",गुरुवाणी,देववाणी,जिनवाणी,संतवाणी,3,Easy
उन गुरुओं को नमस्कार किया गया है जिन्होंने क्या पहचाना है?,जगत के स्वरूप को,वाणी के अन्तर्तम को,धन की महत्ता को,अपनी शक्ति को,2,Medium
निर्ग्रन्थ दिगंबर ज्ञानी गुरु सदा कहाँ विचरते हैं?,नगर में,वन में,स्वातम में,आकाश में,3,Medium
"रिक्त स्थान की पूर्ति करें: ""चलते फिरते ______ से गुरु, चरणों में शीश झुकाते हैं।""",देवों,सिद्धों,अरिहंतों,आचार्यों,2,Hard
कवि किनके क़दमों पर चलने की भावना भाते हैं?,देवों के,गुरुओं के,मित्रों के,धनिकों के,2,Easy
अंत में नमस्कार किसे-किसे किया गया है?,शुद्धात्म को,जिनवर वाणी को,समरससानी चर्या वाले गुरुओं को,उपरोक्त सभी को,4,Easy
"""दर्शन दाता देव हैं"" - इस पंक्ति में देव को क्या कहा गया है?",ज्ञान दाता,चारित्र दाता,दर्शन दाता,सुख दाता,3,Medium
आह्वान में सिद्ध परमेष्ठी को कैसा बताया गया है?,"चिदानन्द, स्वातमरसी, सत्, शिव, सुन्दर",लोक के ज्ञाता-दृष्टा,परम सिद्ध,उपरोक्त सभी,4,Medium
"जल अर्घ्य में कवि कहते हैं कि ज्यों-ज्यों जल पिया, त्यों-त्यों क्या हुआ?",प्यास बुझी,तृष्णा की आग जली,शांति मिली,आनंद आया,2,Medium
"रिक्त स्थान की पूर्ति करें: ""होकर निराश सब जग भर से, अब ______ शरण में मैं आया।""",अरिहंत,आचार्य,उपाध्याय,सिद्ध,4,Easy
"चन्दन अर्घ्य में, अब तक किसका उपचार किया और उस पर चन्दन का लेप किया?",आत्मा का,मन का,तन का,वचन का,3,Easy
अब किसके उपचार हेतु सिद्ध भगवान को चन्दन के समान पाया है?,आतम के उपचार हेतु,शरीर के उपचार हेतु,धन के उपचार हेतु,घर के उपचार हेतु,1,Medium
"रिक्त स्थान की पूर्ति करें: ""तुम ______ हो प्रभुवर, तुम ही अखण्ड अविनाशी हो।""",क्षत,अक्षत,नश्वर,साकार,2,Medium
"अक्षत अर्घ्य में, शालिकर्णों (चावलों) का अवलंबन लेकर किसे अपनाने की बात कही है?",संसार पद को,देव पद को,अक्षयपद को,गुरु पद को,3,Hard
"पुष्प अर्घ्य में, सिद्ध भगवान ने किस प्रबल शत्रु को जीता है?",क्रोध को,मान को,माया को,काम को,4,Medium
"रिक्त स्थान की पूर्ति करें: ""प्रमुदित मन विकसित सुमन नाथ, ______ को ठुकराने आया।""",मान,क्रोध,लोभ,मनसिज (कामदेव),4,Hard
"नैवेद्य अर्घ्य में, कवि की यह समझ गलत कैसे साबित हुई कि 'भोजन से जीवन चलता है'?",क्योंकि भोजन से रोग होते हैं,"क्योंकि भोजन बिन नरकों में जीवन है, और भरपेट खाने वाला मनुज भी मरता है",क्योंकि भोजन महंगा है,क्योंकि भोजन बनाना कठिन है,2,Medium
सिद्ध भगवान भोजन के बिना कैसे हैं?,दुःखी हैं,निर्बल हैं,अक्षय सुखमय हैं,चिंतित हैं,3,Easy
"दीप अर्घ्य में, यह मानना कि 'इंद्रिय से ज्ञान उपजता है' गलत क्यों है?",क्योंकि जड़ (इंद्रिय) चेतन (ज्ञान) का सर्जन नहीं कर सकता,क्योंकि इंद्रियां धोखा देती हैं,क्योंकि इंद्रियां सीमित हैं,क्योंकि इंद्रियों से दुःख होता है,1,Hard
"रिक्त स्थान की पूर्ति करें: ""मेरा स्वभाव है ______मयी, यह भेदज्ञान पा हरषाया।""",रूप,रस,गंध,ज्ञान,4,Medium
"धूप अर्घ्य में, आत्मा का स्वभाव कैसा बताया गया है?","चेतनमय, जिसमें जड़ की गंध नहीं","जड़मय, जिसमें चेतन की गंध नहीं","रूपमय, जिसमें रस नहीं","रसमय, जिसमें गंध नहीं",1,Medium
"इस अर्घ्य में धूप नहीं, बल्कि क्या उड़ाने की बात कही गई है?",फूलों की सुगंध,जड़-कर्मों की रज,चंदन की सुगंध,इत्र की सुगंध,2,Hard
"रिक्त स्थान की पूर्ति करें: ""मैं हूँ अखण्ड ______ चण्ड, पर से कुछ भी सम्बन्ध नहीं।।""",रूपपिण्ड,रसपिण्ड,गंधपिण्ड,चिद्रूपपिण्ड,4,Hard
"फल अर्घ्य में, शुभ कर्मों का फल क्या बताया गया है?",मोक्ष,आत्म-सुख,विषय-भोग,निर्जरा,3,Medium
रागादि विभाव करने का फल क्या पाया?,शांति,सुख,आनंद,आकुलता,4,Medium
"अर्घ्य में, जल से फल तक का वैभव त्यागने का कारण क्या था?",वैभव से आकुलता बनी रही और आत्म-स्वभाव का भान नहीं हुआ,वैभव कम पड़ गया था,वैभव पुराना हो गया था,वैभव की इच्छा नहीं रही,1,Hard
"""जब दृष्टि पड़ी प्रभुजी तुम पर, मुझको स्वभाव का भान हुआ।"" - इस पंक्ति में स्वभाव का क्या भान हुआ?",सुख विषय-भोगों में नहीं है,सुख धन में है,सुख परिवार में है,सुख संसार में है,1,Medium
जयमाला के अनुसार सिद्ध भगवान कैसे हैं?,ज्ञानमात्र ज्ञायक-स्वरूप,अनन्त चैतन्य-रूप,अखण्ड आनन्द-पिण्ड,उपरोक्त सभी,4,Easy
"रिक्त स्थान की पूर्ति करें: ""मोहारि दलन को तुम ______।।""",प्रचंड,शांत,मौन,धीर,1,Medium
सिद्ध भगवान किसके हार हैं और कहाँ विहार करते हैं?,"संसार के हार, पर में विहार","शिवरमणी के हृदयहार, निज में विहार","देवों के हार, स्वर्ग में विहार","लक्ष्मी के हार, जगत में विहार",2,Hard
अज्ञानता के कारण चेतन को कैसा मान लिया?,चेतनमय,ज्ञानमय,जड़मय,अमूर्तिक,3,Medium
"रिक्त स्थान की पूर्ति करें: ""जो धर्म-ध्यान आनन्द-रूप, उसको माना मैं ______।""",सुख-स्वरूप,मोक्ष-स्वरूप,दुःख-स्वरूप,कर्तव्य-स्वरूप,3,Medium
संसार-पास (बंधन) क्यों नहीं कटता?,"क्योंकि नित्य भोगों की इच्छा की, जो महादुःख हैं",क्योंकि तप किया,क्योंकि दान दिया,क्योंकि पूजा की,1,Hard
पर को दुःख का हेतु और सुख का कारण मानने से क्या हुआ?,भव-दुःख बना रहा,भव-दुःख कट गया,मोक्ष मिल गया,शांति मिल गई,1,Medium
वरदान मांगकर पूजा करने से क्या नहीं मिटता?,गरीबी,रोग,संसार-स्वाँग,शत्रुता,3,Medium
प्रभु का स्वरूप लखने पर क्या हुआ?,सारे काज बिगड़ गए,हो गये सफल संपूर्ण काज,मन में संशय हुआ,दुःख बढ़ गया,2,Easy
प्रभु के बारे में क्या भेदज्ञान प्रकट हुआ?,"तुम पर के कर्त्ता नहीं, सबके ज्ञाता हो",तुम भक्तों को धन देते हो,तुम भक्तों के दुःख हरते हो,तुम भक्तों की इच्छा पूरी करते हो,1,Hard
"रिक्त स्थान की पूर्ति करें: ""मंत्र जपो नवकार मनुवा,मंत्र जपो ______।""",णमोकार,नमस्कार,नवकार,नमस्कार,3,Easy
पंच प्रभु को वंदन करने से वे कैसे सिद्ध होते हैं?,दुःखकार,क्लेशकार,सुखकार,शांतिकार,3,Easy
अरिहंतों का दर्शन करके किसका परिचय करने को कहा है?,संसार का,सिद्धों का,शुद्धात्म का,गुरु का,3,Medium
"रिक्त स्थान की पूर्ति करें: ""सब सिद्धों का ध्यान लगा लो, सिद्ध समान ______ को ध्या लो।""",गुरु,देव,स्वयं,पर,3,Medium
आचार्यों को शीश नवाकर किसका पथ अपनाने को कहा है?,सग्रंथों का,गृहस्थों का,निर्ग्रंथों का,देवों का,3,Medium
"रिक्त स्थान की पूर्ति करें: ""उपाध्याय से शिक्षा लेकर, ______ को शीश नवाकर।""",अष्टांग,दशांग,द्वादशांग,पंचांग,3,Medium
उपाध्याय से शिक्षा लेकर किसे हृदय में धारण करने को कहा है?,धन को,यश को,जिनवाणी को,पद को,3,Easy
सर्व साधु को वंदन करके किसका आराधन करने को कहा है?,केवल ज्ञान का,केवल दर्शन का,रत्नत्रय का,केवल चारित्र का,3,Medium
"रिक्त स्थान की पूर्ति करें: ""जन्म मरण ______ मनुवा ।।।""",सुखकार,फलकार,क्षयकार,हितकार,3,Medium
यह भजन किस मंत्र की महिमा पर आधारित है?,गायत्री मंत्र,महामृत्युंजय मंत्र,णमोकार/नवकार मंत्र,स्वस्ति मंत्र,3,Easy
जिनवर के अंग-अंग को निरखने से क्या झलकता है?,शक्ति अपार,करुणा अपार,शान्ति अपार,ज्ञान अपार,3,Easy
जिनवर के चरण-कमल क्या कहते हैं?,"""संसार में घूमो""","""निज आत्मतत्त्व ही सार है""","""धन कमाओ""","""यश पाओ""",2,Medium
"रिक्त स्थान की पूर्ति करें: ""यातें ______ विराजे जिनवर, झलके शान्ति अपार ।।।""",खड्गासन,पद्मासन,सिद्धासन,वीरासन,2,Medium
जिनवर के हस्त-युगल (दोनों हाथ) क्या कहते हैं?,"""पर का कर्ता होना मिथ्या बुद्धि है""","""दान देना ही धर्म है""","""कर्म करना ही पूजा है""","""आशीर्वाद लेना चाहिए""",1,Hard
चारों गतियों में भ्रमण का कारण क्या बताया गया है?,पर का कर्ता होने की मिथ्या बुद्धि,दान न देना,पूजा न करना,तप न करना,1,Medium
"रिक्त स्थान की पूर्ति करें: ""लोचन द्वय जिनवर कहें, देखा सब ______ ।""",घर-बार,परिवार,संसार,व्यापार,3,Easy
दुःखमयी चार गतियों में सारभूत तत्व क्या है?,पुण्य,पाप,ध्रुव आत्मतत्त्व,कर्म,3,Medium
जिनवर की दृष्टि कहाँ पर स्थित है?,आकाश में,धरती पर,दायीं ओर,नासाग्र (नाक के अग्रभाग) पर,4,Medium
"रिक्त स्थान की पूर्ति करें: ""यातें ______ विराजे जिनवर, झलके शान्ति अपार ।""",अन्तर्दृष्टि,बहिर्दृष्टि,समदृष्टि,विषमदृष्टि,1,Hard
जिनदर्शन करके क्या पाने की बात कही गई है?,धन,यश,निजदर्शन,स्वर्ग,3,Medium
"रिक्त स्थान की पूर्ति करें: ""महिमा है, अगम ______ की॥""",जिनागम,प्रभुगम,गुरुगम,शिवगम,1,Easy
जिनागम को सुनने से किसकी भिन्नता पहचानी जाती है?,जड़ और चेतन की,स्त्री और पुरुष की,अमीर और गरीब की,देव और मनुष्य की,1,Medium
जिनागम को सुनकर हम स्वयं को कैसी मूर्ति पहचानते हैं?,पाषाण मूर्ति,जड़ मूर्ति,चिन्मूरति (चैतन्य मूर्ति),स्वर्ण मूर्ति,3,Medium
"रिक्त स्थान की पूर्ति करें: ""रागादिक दु:ख कारन जानैं, त्याग बुद्धि दीनी ______ की महिमा है ।।""",सत्य,असत्य,धर्म,भ्रम,4,Hard
जिनागम के प्रभाव से उर (हृदय) के अन्दर क्या जागी?,मोह-निद्रा,आशा-तृष्णा,ज्ञान-ज्योति,क्रोध-अग्नि,3,Medium
ज्ञान-ज्योति जागने पर किसमें रुचि बढ़ी?,शम-दम में,भोग-विलास में,राग-रंग में,वाद-विवाद में,1,Medium
"रिक्त स्थान की पूर्ति करें: ""कर्मबंध की भई ______, कारण परम पराक्रम की महिमा है ।।""",वृद्धि,निर्जरा,स्थिति,उदय,2,Medium
कवि 'भागचन्द' को किसका लालच लग गया?,धन का,स्वर्ग का,शिव (मोक्ष) का,राजपाट का,3,Medium
शिव (मोक्ष) में किसकी पहुँच नहीं है?,देव की,यम की,इंद्र की,चक्रवर्ती की,2,Medium
इस भजन में 'अगम' शब्द का क्या अर्थ है?,"जहाँ जाया न जा सके, अथाह",सरल,सुगम,छोटा,1,Hard
"रिक्त स्थान की पूर्ति करें: ""हे जिनवाणी माता! तुमको ______ प्रणाम,तुमको क्रोड़ों प्रणाम |""",लाखों,हज़ारों,शत-शत,बारम्बार,1,Easy
जिनवाणी माता को कैसी बताया गया है?,दुःखदानी,क्लेशदानी,शिवसुखदानी,भवदानी,3,Easy
जिनवाणी क्या बताकर सकल विरोध मिटाती है?,कथा-कहानी,वस्तु-स्वरूप,भविष्य,इतिहास,2,Medium
"रिक्त स्थान की पूर्ति करें: ""हे ______ विख्याता! तुमको लाखों प्रणाम ||""",एकांतवाद,नयवाद,निश्चयवाद,स्याद्वाद,4,Medium
जिनवाणी किसका मंडन और किसका खंडन करती है?,"ज्ञान का मंडन, मिथ्यात कुमारग खंडन","मिथ्यात्व का मंडन, ज्ञान का खंडन","पाप का मंडन, पुण्य का खंडन","पुण्य का मंडन, पाप का खंडन",1,Medium
जिनवाणी को कितने जगत की माता कहा गया है?,एक जगत,दो जगत,तीन जगत,चौदह जगत,3,Easy
"रिक्त स्थान की पूर्ति करें: ""तू लोकालोक प्रकाशे, चर-अचर ______ विकाशे |""",पदार्थ,भाव,गुण,द्रव्य,1,Medium
जिनवाणी को किसकी ज्ञाता कहा गया है?,केवल विश्व की,विश्वतत्त्व की,केवल भारत की,केवल जम्बूद्वीप की,2,Medium
जिनवाणी क्या दिखाकर रत्नत्रय का पथ प्रकट करती है?,पर-तत्त्व,जड़-तत्त्व,शुद्धात्म तत्त्व,कर्म-तत्त्व,3,Hard
"रिक्त स्थान की पूर्ति करें: ""निज आनन्द ______! तुमको लाखों प्रणाम ||""",रसदाता,फलदाता,अमृतदाता,सुखदाता,3,Medium
कवि 'शिवराम' जिनवाणी माता से कृपा करके क्या हर लेने की प्रार्थना करते हैं?,निजभाव,परभाव,सद्भाव,दुर्भाव,2,Medium
जिनवाणी किसकी सुधा (अमृत) बरसाती है?,शान्ति की,भक्ति की,शक्ति की,मुक्ति की,1,Easy
"रिक्त स्थान की पूर्ति करें: ""वस्तुस्वरूप बताये ______ ॥""",जिनवाणी,गुरुवाणी,देववाणी,संतवाणी,1,Easy
जिनवाणी किससे रहित है?,पूर्वापर सब दोष से,रस से,ज्ञान से,अर्थ से,1,Medium
जिनवाणी किससे शून्य और शुद्ध है?,पुण्य क्रिया से,पाप क्रिया से,शुभ क्रिया से,अशुभ क्रिया से,2,Medium
"रिक्त स्थान की पूर्ति करें: ""______ कहलाये जिनवाणी ॥""",परमागम,आगम,शास्त्र,ग्रन्थ,1,Easy
परमागम किसके लिए अर्पण है?,अभव्यों को,भव्यो को,देवों को,मनुष्यों को,2,Medium
जिनवाणी को किसके मुख का दर्पण कहा गया है?,संसार वधु के,मुक्ति वधु के,स्वर्ग की अप्सरा के,चक्रवर्ती की रानी के,2,Hard
"रिक्त स्थान की पूर्ति करें: ""भवसागर से तारे ______ ॥""",गुरुवाणी,जिनवाणी,देववाणी,निजवाणी,2,Easy
जग सारा किसके द्वारा महा क्लेश पाता है?,ज्ञान रूपी अग्नि द्वारा,राग रूप अंगारों द्वारा,तप रूपी अग्नि द्वारा,वैराग्य रूपी अग्नि द्वारा,2,Medium
जिनवाणी क्लेशित जगत पर किसके समान बरसती है?,अग्नि के समान,सजल मेघ (जल से भरे बादल) के समान,धूप के समान,ओलों के समान,2,Medium
जिनवाणी कितने तत्त्व का ज्ञान कराती है?,पाँच,सात,नौ,छह,2,Easy
"रिक्त स्थान की पूर्ति करें: ""अचल विमल ______ दरसावे।""",परपद,गुरुपद,निजपद,देवपद,3,Medium
जिनवाणी से कौनसा सागर लहराता है?,दुःख सागर,भव सागर,सुख सागर,ज्ञान सागर,3,Medium
कवि स्वयं को कैसा राही बताते हैं?,दुःखों का ग्राही,अतुल सुखों का ग्राही,संसार का राही,मोक्ष का त्यागी,2,Medium
"रिक्त स्थान की पूर्ति करें: ""बोलो मेरे संग, ______ आनन्दघन ॥""",आनंदघन,सुखघन,ज्ञानघन,चेतनघन,1,Easy
कवि कहाँ और कब रमने (लीन होने) की बात करते हैं?,आत्मा में क्षण-क्षण में,संसार में पल-पल में,विषयों में दिन-रात में,कषायों में हर समय में,1,Medium
कवि कब तक दम नहीं लेने की बात करते हैं?,जब तक पर को न जान लें,जब तक अपने को जाने बिना,जब तक धन न कमा लें,जब तक जग न जीत लें,2,Hard
"रिक्त स्थान की पूर्ति करें: ""आगम ही आगम बढ़ाऊँगा ______।""",पीछे,कदम,आगे,संग,2,Medium
सुख में और दुःख में किस पर चलने की बात है?,अलग-अलग राह पर,एक राह पर,दो राह पर,अनेक राह पर,2,Medium
"धूप हो या बरसात, कवि किसकी धारा बहाने की बात करते हैं?",क्रोध की धारा,आँसुओं की धारा,अनुभव की धारा,पानी की धारा,3,Hard
अनुभव की धारा बहाने से किसका फिर से जन्म नहीं होगा?,आत्मा का,ज्ञान का,विषयों का,शरीर का,3,Medium
"रिक्त स्थान की पूर्ति करें: ""गुण अनन्त का ______ हूँ मैं मुझमें ये रतन""",भोगी,त्यागी,स्वामी,दास,3,Medium
किसके वर्णन करने में गणधर भी हार गए?,संसार के,मेरे (आत्मा के) अनुपम चमन के,स्वर्ग के,नरक के,2,Hard
इस भजन का मुख्य संदेश क्या है?,संसार में रहो,ज्ञाता-दृष्टा रहकर आत्मानुभव के पथ पर बढ़ो,खूब धन कमाओ,सबसे लड़ाई करो,2,Hard
कवि को कौनसा देश (संसार) अच्छा नहीं लग रहा है?,परदेश,स्वदेश,थारो देश (तुम्हारा देश/संसार),निज-घर,3,Easy
"रिक्त स्थान की पूर्ति करें: ""रहूँगा मैं तो ______ में॥""",पर-घर,महल,अटारी,निज-घर,4,Easy
कवि को क्या-क्या अच्छा नहीं लग रहा है?,महल अटारी,झोंपड़ी,वन,पर्वत,1,Easy
कवि को सारी दुनिया कैसी लग रही है?,सच्ची,झूठी,अपनी,पराई,2,Easy
"रिक्त स्थान की पूर्ति करें: ""मोहे भावे ______ सुभेष,""",वसन,आभूषण,नगन (नग्न),राजसी,3,Medium
कवि को यह संसार परदेश जैसा क्यों लग रहा है?,क्योंकि यहाँ कोई अपना नहीं दिखता,क्योंकि यह बहुत दूर है,क्योंकि यहाँ की भाषा अलग है,क्योंकि यहाँ का मौसम खराब है,1,Medium
आत्मा का निज-घर किसका निवास स्थान है?,"श्रद्धा, ज्ञान, चारित्र का","राग, द्वेष, मोह का","धन, दौलत, वैभव का","माता, पिता, परिवार का",1,Hard
"रिक्त स्थान की पूर्ति करें: ""अनन्त गुण ______ हमारा;""",शत्रु,मित्र,पड़ोसी,परिवार,4,Medium
कवि सुख के धाम में जाने के लिए किस भेष को धारण करने की बात करते हैं?,राजा का भेष,दिगम्बर भेष,व्यापारी का भेष,गृहस्थ का भेष,2,Medium
कवि किस चीज़ के लिए तरस रहे हैं?,पर में स्थिरता के लिए,निज में थिरता (स्थिरता) के लिए,धन के लिए,पद के लिए,2,Medium
आचार्य कुंदकुंद ने कौनसा पथ दिखा दिया?,गलत पथ,अधूरा पथ,सच्चा पथ,कठिन पथ,3,Easy
"रिक्त स्थान की पूर्ति करें: ""दृष्टि का विषय मेरी ______ में बिठा दिया""",मन,वचन,काया,दृष्टि,4,Medium
किसके ध्यान से सदा मुक्ति मिलती है?,शुद्धात्मा के ध्यान से,परमात्मा के ध्यान से,गुरु के ध्यान से,धन के ध्यान से,1,Medium
"""हूँ ज्ञान मात्र आत्मा पर भाव से जुदा"" - इस पंक्ति का क्या अर्थ है?",मैं ज्ञान और पर भाव दोनों हूँ,मैं केवल ज्ञान स्वरुप आत्मा हूँ और परभावों से भिन्न हूँ,मैं परभाव हूँ और ज्ञान से भिन्न हूँ,मैं ज्ञान और परभाव से मिलकर बना हूँ,2,Hard
"रिक्त स्थान की पूर्ति करें: ""आराधना के काल में ______ बना दिया""",साधक,सेवक,आराध्य,पूज्य,3,Hard
"आज तक जो भी मुक्ति में गए हैं, या जायेंगे, वह किसका महात्म्य है?",धन का,तप का,सम्यक्त्व का,दान का,3,Medium
आचार्य कुंदकुंद ने किसे 'ब्रह्मा' बना दिया?,जगत को,मेरे ही ब्रह्म भाव को,इंद्र को,ब्रह्मा देवता को,2,Hard
जीव की मूल में एक भूल क्या थी?,द्रव्य दृष्टि की,पर्याय दृष्टि की,सम्यक् दृष्टि की,मिथ्या दृष्टि की,2,Hard
"रिक्त स्थान की पूर्ति करें: ""अहो ______ की निधि मुझे आप से मिली""",पर्याय दृष्टि,नय दृष्टि,प्रमाण दृष्टि,द्रव्य दृष्टि,4,Hard
भोगों की भीड़ में आचार्य कुंदकुंद ने किसे दिखा दिया?,भोगी को,योगी को,राजा को,रंक को,2,Medium
कवि को कौनसा भवन मिलने से वे धन्य-धन्य हुए?,राजभवन,समकित (सम्यक्त्व) भवन,देवभवन,इन्द्रभवन,2,Medium
समकित भवन में कौन नहीं मिला?,"न कोई अप्रमत्त, नाही प्रमत्त",केवल अप्रमत्त,केवल प्रमत्त,साधु और श्रावक,1,Hard
"रिक्त स्थान की पूर्ति करें: ""तिरोभाव कर विशेषों का ______ दिखा दिया""",विशेष,गुण,पर्याय,सामान्य,4,Hard
"इस भजन के अनुसार, हम सदा कैसे रहेंगे?",रागी रहेंगे,द्वेषी रहेंगे,वीतरागी रहेंगे,मोही रहेंगे,3,Easy
"रिक्त स्थान की पूर्ति करें: ""ना ये राग होगा ना ______ रहेंगे""",द्वेषी,मोही,रागी,भोगी,3,Easy
किससे सदा के लिए मुक्ति मिलने की कामना है?,विकल्पों से,संसार से,धन से,परिवार से,1,Medium
कवि की परिणति किसमें ही रहने की कामना है?,राग में,द्वेष में,ज्ञान में,मोह में,3,Medium
"रिक्त स्थान की पूर्ति करें: ""विकारों के बिन ______ रहेंगे""",सविकारी,अविकारी,निर्विकारी,शुभकारी,3,Easy
कवि को महापुण्य से कौन मिला?,गुरु,मित्र,नाथ (प्रभु),धन,3,Easy
प्रभु ने 'मेरा नाथ' कहाँ बताया?,मंदिर में,शास्त्र में,मुझमें ही,गुरु में,3,Hard
"रिक्त स्थान की पूर्ति करें: ""नहीं वेदना ______ की अब सहेंगे""",कर्म,संसार,मोह,शरीर,3,Medium
मुझ (आत्मा) में किसका अंश नहीं आया?,ज्ञान का,चेतन का,जड़ का,सुख का,3,Medium
मैं कैसा था और कैसा रहूँगा?,"अनादि थे, अनंत रहेंगे","नश्वर थे, नश्वर रहेंगे","त्रिकाली ही थे हम, त्रिकाली रहेंगे","संसारी थे, संसारी रहेंगे",3,Hard
"रिक्त स्थान की पूर्ति करें: ""अवस्थाओं में ही रहा मैं तो ______""",भिन्न,तन्मय,अलग,न्यारा,2,Medium
स्वयं को क्या नहीं जाना?,मैं ध्रुव एक चिन्मय हूँ,मैं अनित्य एक रूपी हूँ,मैं क्षणिक एक विकारी हूँ,मैं संसारी एक दुःखी हूँ,1,Hard
अब क्या करने का संकल्प है?,पर्याय दृष्टि धरेंगे,द्रव्य दृष्टि धरेंगे,राग-द्वेष करेंगे,विषय भोगेंगे,2,Medium
जीव की विकारी मूढ़ता क्या रही?,विषयों में अनाकुलता मिलेगी,विषयों में भारी अनाकुलता (शांति) मिलेगी,विषयों में दुःख मिलेगा,विषयों में सुख नहीं है,2,Hard
अब किसकी आश नहीं रखने का संकल्प है?,प्रतिकूलता की,अनुकूलता की,सुख की,दुःख की,2,Medium
"रिक्त स्थान की पूर्ति करें: ""दिन-रात स्वामी तेरे ______ गाऊँ |""",भजन,दोहे,गीत,छंद,3,Easy
भावों की कलियों को कहाँ खिलाने की बात है?,माला में,उपवन में,चरणे (चरणों में),हृदय में,3,Medium
कवि को प्रभु की कौन सी मूरत भा गई है?,रौद्र-मूरत,भयानक-मूरत,शांत-मूरत,चंचल-मूरत,3,Easy
"रिक्त स्थान की पूर्ति करें: ""मेरे ______ में नजर आ गई है।""",मन,नयनों,हृदय,सपनों,2,Easy
कवि सारे जहाँ में क्या नहीं पा सके?,दुःख,मित्र,धन,सुख,4,Medium
यह संसार किसके गहरे दरिया के समान है?,सुख के,आनंद के,गम (दुःख) के,अमृत के,3,Medium
"रिक्त स्थान की पूर्ति करें: ""ये जीवन की नैया मैं कैसे ______,""",चलाऊँ,डुबाऊँ,तिराऊँ (पार लगाऊँ),बनाऊँ,3,Medium
कवि ने निगोद अवस्था से मानव गति तक किसे ढूंढा?,धन को,सुख को,आपको (प्रभु को),मोक्ष को,3,Medium
इतनी खोज के बाद भी कवि को क्या नहीं मिला?,अपनी मंजिल,प्रभु,सच्चा सुख,उपरोक्त सभी,4,Medium
"रिक्त स्थान की पूर्ति करें: ""कहाँ मेरी मंजिल तुझे कैसे ______ |""",भूलूँ,जानूँ,पाऊँ,छोडूँ,3,Easy
कवि की क्या आस है?,जिनवर की शरण पाने की,धन पाने की,स्वर्ग जाने की,राजा बनने की,1,Easy
जिनवर की शरण पाने से क्या मिट जाएगी?,गरीबी,बीमारी,भव-भव की फेरी,शत्रुता,3,Medium
अंत में कवि प्रभु को शीश नवाकर क्या मांगते हैं?,धन,यश,शरण,पुत्र,3,Easy
चेतन ने भ्रम कैसे ठान लिया है?,जैसे सिंह स्वयं को भेड़ समझे,जैसे मृग मृगतृष्णा को जल समझे,जैसे हाथी चींटी से डरे,जैसे मनुष्य देवता बने,2,Medium
"रिक्त स्थान की पूर्ति करें: ""ज्यों निशितम में निरखि जेवरी, ______ मान नर भय उर आन्यो ।।""",सर्प,भुजंग,नाग,रस्सी,2,Hard
कुध्यान के वश में मनुष्य किसके फंदे में फंसकर आकुलित होता है?,महिष (भैंसे) के सींग के,सिंह के पंजों के,अपने ही विकल्पों के,संसार के,1,Hard
"रिक्त स्थान की पूर्ति करें: ""त्यों चिर मोह अविद्या पेर्यो, तेरो तै ही रूप ______ ।।""",जान्यो,पिछान्यो,भुलान्यो,मान्यो,3,Medium
तन (शरीर) का आत्मा से कैसा मेल नहीं है?,जैसे जल और दूध का,जैसे तोय (पानी) और तेल का,जैसे सोना और सुहागे का,जैसे घी और शक्कर का,2,Hard
